run_id,neighborhood,year,scenario,topology_source,success,duration_seconds,scenario_info_neighborhood_name,scenario_info_year,scenario_info_scenario_type,scenario_info_topology_source,scenario_info_timestamp,scenario_info_spacing_m,technology_parameters_heat_pump_cop,technology_parameters_heat_substation_eff,technology_parameters_hybrid_threshold_kW,postprocessing_parameters_pipe_sizing_heat_capacity,postprocessing_parameters_pipe_sizing_density,postprocessing_parameters_pipe_sizing_delta_T,postprocessing_parameters_pipe_sizing_flow_speed,postprocessing_parameters_distance_factors_Heat transmission main,postprocessing_parameters_distance_factors_LQ heat distribution main,postprocessing_parameters_distance_factors_LQ heat distribution secondary,postprocessing_parameters_distance_factors_LV electricity distribution main,postprocessing_parameters_distance_factors_LV electricity distribution secondary,postprocessing_parameters_heat_loss_rates_Heat transmission main,postprocessing_parameters_heat_loss_rates_LQ heat distribution main,postprocessing_parameters_heat_loss_rates_LQ heat distribution secondary,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution main,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution secondary,model_size_num_nodes,model_size_num_techs,model_size_num_carriers,model_size_num_links,results_summary_total_capacity_installed,results_summary_supply_geothermal_capacity_original_kW,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_supply_geothermal_additional_for_losses_kW,results_summary_heat_pump_capacity_kW,results_summary_heat_pump_electricity_capacity_kW,results_summary_supply_LV_electricity_capacity_kW,results_summary_total_heat_demand_kW,results_summary_heat_losses_total_system_losses_kW,results_summary_heat_losses_LQ_network_losses_kW,results_summary_heat_losses_HQ_network_losses_kW,results_summary_heat_losses_substation_efficiency_losses_kW,results_summary_heat_losses_loss_percentage,results_summary_district_heating_efficiency,execution_time_total_seconds,heat_loss_info_apply_heat_losses,heat_loss_info_total_system_losses_kw,electricity_loss_info_apply_electricity_losses,electricity_loss_info_total_lv_losses_kw,unmet_demand_info_total_unmet_demand_kw,unmet_demand_info_num_unmet_nodes,unmet_demand_info_total_demand_nodes,unmet_demand_info_unmet_demand_fraction,connectivity_info_num_isolated_demand_nodes_requiring_bridges,connectivity_info_isolated_demand_nodes_list,connectivity_info_total_demand_nodes_in_network,connectivity_info_connectivity_status,supply_losses_substation_multatulibuurt,supply_losses_geothermie_delft,results_summary_supply_geothermal_capacity_kW,results_summary_supply_LV_electricity_capacity_original_kW,results_summary_supply_LV_electricity_capacity_adjusted_kW,results_summary_supply_LV_electricity_additional_for_losses_kW,results_summary_electricity_losses_total_lv_losses_kW,results_summary_electricity_losses_loss_percentage,supply_losses_MV_LV_transformer1,supply_losses_MV_LV_transformer11,supply_losses_MV_LV_transformer12,supply_losses_MV_LV_transformer2,supply_losses_MV_LV_transformer3,supply_losses_MV_LV_transformer4,supply_losses_MV_LV_transformer7,supply_losses_MV_LV_transformer9,supply_losses_MV_LV_transformer10,supply_losses_MV_LV_transformer5,supply_losses_MV_LV_transformer6,supply_losses_MV_LV_transformer8,supply_losses_substation_holstbuurt,supply_losses_substation_mythologiebuurt,supply_losses_substation_poptahofzuid
multatulibuurt_2013_district_heating_stedin_5ec26a33,multatulibuurt,2013,district_heating,stedin,True,418.4988,Multatulibuurt,2013,district_heating,stedin,2026-01-21T12:31:52.732247,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3579,3597,3,3592,1054567.9732410812,5737.643332827857,6234.853077387273,497.2097445594154,0.0,0.0,0.0,5163.878999545072,1070.9740778422015,361.00912768130377,96.08849158018894,613.8764585807087,20.739720623518725,0.8282278564467802,411.325923700002,True,1070.9740778422015,True,0.0,0.0,0,373,0/373,6,"D0503100000020028, D0503100000020033, D0503100000020032, D0503100000020034, D0503100000019940, D0503100000019939",373,partially_connected_with_emergency_links,361.00912768130377,497.2097445594154,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2013_district_heating_osm_286a7dd1,multatulibuurt,2013,district_heating,osm,True,215.144677,Multatulibuurt,2013,district_heating,osm,2026-01-21T12:35:30.318888,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2400,2428,3,2423,747616.7209170107,5737.643332827856,6308.920093362571,571.2767605347144,0.0,0.0,0.0,5163.878999545072,1145.0410938175005,427.66944205907316,96.08849158018894,621.2831601782384,22.174049661473024,0.8185044228057091,210.43558710021898,True,1145.0410938175005,True,0.0,0.0,0,373,0/373,0,,373,fully_connected,427.66944205907316,571.2767605347144,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2013_full_electrification_stedin_f6dfd2d5,multatulibuurt,2013,full_electrification,stedin,True,428.59876,Multatulibuurt,2013,full_electrification,stedin,2026-01-21T12:42:37.172013,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3458,3812,3,3806,75678.01946357956,,,,5163.878999545072,1290.9697498862677,,5163.878999545072,,,,,,,422.14483949984424,True,0.0,True,81.2822332917885,0.0,0,373,0/373,6,"D0503100000020032, D0503100000019939, D0503100000019940, D0503100000020034, D0503100000020028, D0503100000020033",373,partially_connected_with_emergency_links,,,0.0,1290.969749886268,1372.2519831780564,81.2822332917885,81.2822332917885,6.296215174596409,0.9408987541590413,12.308331120009859,0.28667874839523017,2.2261239162079676,64.410511722526,0.04267586215284401,0.5336539235148401,0.5333592448227902,,,,,,,
multatulibuurt_2013_full_electrification_osm_3a8b7162,multatulibuurt,2013,full_electrification,osm,True,221.810609,Multatulibuurt,2013,full_electrification,osm,2026-01-21T12:46:22.286894,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2400,2440,3,2434,49141.08369540249,,,,5163.878999545072,1290.9697498862677,,5163.878999545072,,,,,,,216.9613083001459,True,0.0,True,48.985889921538025,0.0,0,373,0/373,0,,373,fully_connected,,,0.0,1290.969749886268,1339.955639807806,48.985889921538025,48.985889921538025,3.7945033124016736,0.511126658437044,1.1778763838357156,19.82766603348074,2.578533359182106,2.4344624325255624,15.11137635348808,2.474766685906049,0.0503787591717717,4.020000527908468,0.6524552521759719,0.03011543007324225,0.11713204535331001,,,
multatulibuurt_2013_hybrid_stedin_be93b79e,multatulibuurt,2013,hybrid,stedin,True,1598.485351,Multatulibuurt,2013,hybrid,stedin,2026-01-21T13:12:44.781668,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,6635,7016,3,7009,512384.2339156837,2740.158699117386,2947.8885690886,207.72986997121416,2697.736170339424,674.4340425848559,,5163.878999545072,481.7457398829526,100.4772405519224,96.08849158018894,285.18000775084124,9.329144620263053,,1577.5719255000586,True,481.7457398829526,True,7.745931562401203,0.0,0,373,0/373,6,"D0503100000019940, D0503100000020034, D0503100000020033, D0503100000020028, D0503100000019939, D0503100000020032",373,partially_connected_with_emergency_links,100.4772405519224,207.72986997121416,,674.4340425848559,682.1799741472571,7.745931562401203,7.745931562401203,1.1485083897476343,0.9408987541590413,0.752519663618982,0.28626195980894614,,4.656562154323764,0.04267586215284401,0.5336539235148402,0.5333592448227902,,,,,,,
multatulibuurt_2013_hybrid_osm_3ce834d2,multatulibuurt,2013,hybrid,osm,True,719.669675,Multatulibuurt,2013,hybrid,osm,2026-01-21T13:24:54.798180,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,4398,4475,3,4468,385127.72090307163,2740.158699117386,2936.26559801824,196.10689890085405,2697.736170339424,674.4340425848559,,5163.878999545072,470.12276881259254,90.0165665885983,96.08849158018894,284.0177106438053,9.104062447125688,,707.0563948001945,True,470.12276881259254,True,10.325268927357174,0.0,0,373,0/373,0,,373,fully_connected,90.0165665885983,196.10689890085405,,674.434042584856,684.7593115122132,10.325268927357174,10.325268927357174,1.5309531066646995,0.511126658437044,0.0016421404085442525,0.563565826551788,0.016535529853083167,2.4344624325255624,2.3311747597003563,2.474766685906049,0.0503787591717717,1.1419134072004504,0.6524552521759719,0.03011543007324225,0.11713204535331004,,,
multatulibuurt_2019_district_heating_stedin_3a2c6b76,multatulibuurt,2019,district_heating,stedin,True,473.451893,Multatulibuurt,2019,district_heating,stedin,2026-01-21T13:32:52.727559,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5760.339704227906,498.1449990707288,0.0,0.0,0.0,4735.97523464146,1024.3644695864468,361.85085674148604,96.08849158018894,566.425121264772,21.629430451698656,0.8221694340640023,464.3325597997755,True,1024.3644695864468,True,0.0,0.0,0,376,0/376,6,"D0503100000020032, D0503100000020033, D0503100000020034, D0503100000020028, D0503100000019939, D0503100000019940",376,partially_connected_with_emergency_links,361.85085674148604,498.1449990707288,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_osm_160cf6fc,multatulibuurt,2019,district_heating,osm,True,245.922524,Multatulibuurt,2019,district_heating,osm,2026-01-21T13:37:02.554577,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2403,2431,3,2426,686104.7421819691,5262.194705157177,5835.426536243851,573.231831086674,0.0,0.0,0.0,4735.975234641459,1099.4513016023918,429.42900555583645,96.08849158018894,573.9338044663664,23.2148870534714,0.8115902419859633,240.20528419991024,True,1099.4513016023918,True,0.0,0.0,0,376,0/376,0,,376,fully_connected,429.42900555583645,573.231831086674,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2019_full_electrification_stedin_ac292696,multatulibuurt,2019,full_electrification,stedin,True,463.236281,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T13:44:44.005367,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,455.8974655998172,True,0.0,True,68.57680658931272,0.0,0,376,0/376,6,"D0503100000020032, D0503100000019939, D0503100000019940, D0503100000020028, D0503100000020034, D0503100000020033",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.570615249678,68.57680658931272,68.57680658931272,5.791990303302706,0.7602122756709105,11.100093251093673,0.23959528271938418,2.103166029310132,53.447481094028355,0.03596613989095939,0.42464620915741624,0.46564630744193186,,,,,,,
multatulibuurt_2019_full_electrification_osm_a5340097,multatulibuurt,2019,full_electrification,osm,True,240.774238,Multatulibuurt,2019,full_electrification,osm,2026-01-21T13:48:48.184121,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2403,2443,3,2437,45311.104512568396,,,,4735.975234641459,1183.993808660365,,4735.975234641459,,,,,,,235.48189849988557,True,0.0,True,42.18349531143701,0.0,0,376,0/376,0,,376,fully_connected,,,0.0,1183.9938086603652,1226.177303971802,42.18349531143701,42.18349531143701,3.5628138426809604,0.42938738221435996,0.8359064540386584,16.815314516003774,2.4431976926511085,1.9308008357253748,13.711081070681725,1.9271613028363461,0.04108727307120908,3.344999918493731,0.5764348377336349,0.02501006896063515,0.1031139590264328,,,
multatulibuurt_2019_hybrid_stedin_c4a1a287,multatulibuurt,2019,hybrid,stedin,True,1966.303904,Multatulibuurt,2019,hybrid,stedin,2026-01-21T14:21:17.394016,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,6638,7019,3,7012,477095.92762354674,2556.8014875096706,2764.5313574808833,207.7298699712128,2434.8538958827558,608.7134739706889,,4735.97523464146,463.41001872218095,100.4772405519224,96.08849158018894,266.8442865900696,9.784891089221748,,1944.6855455997866,True,463.41001872218095,True,6.316854273935094,0.0,0,376,0/376,6,"D0503100000020028, D0503100000019939, D0503100000020034, D0503100000020032, D0503100000020033, D0503100000019940",376,partially_connected_with_emergency_links,100.4772405519224,207.7298699712128,,608.7134739706889,615.030328244624,6.316854273935094,6.316854273935094,1.037738532832159,0.7602122756709104,0.6092243577020926,0.23924705763459225,,3.781911926437194,0.03596613989095939,0.4246462091574162,0.46564630744193186,,,,,,,
multatulibuurt_2019_hybrid_osm_5a2f6506,multatulibuurt,2019,hybrid,osm,True,671.570205,Multatulibuurt,2019,hybrid,osm,2026-01-21T14:32:41.273030,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,4401,4478,3,4471,358751.6524881559,2556.8014875096715,2752.908386410525,196.1068989008536,2434.8538958827558,608.7134739706889,,4735.97523464146,451.787047651821,90.01656658859828,96.08849158018894,265.68198948303376,9.539472342406027,,660.4820529001299,True,451.787047651821,True,8.409465691890201,0.0,0,376,0/376,0,,376,fully_connected,90.01656658859828,196.1068989008536,,608.713473970689,617.1229396625793,8.409465691890201,8.409465691890201,1.38151462904781,0.42938738221435996,0.0011202257547644142,0.46195735987405284,0.016379034579592153,1.9308008357253748,2.000602271321628,1.9271613028363461,0.04108727307120908,0.8964111407921516,0.5764348377336349,0.02501006896063515,0.10311395902643282,,,
multatulibuurt_2020_district_heating_stedin_07685aa8,multatulibuurt,2020,district_heating,stedin,True,430.386416,Multatulibuurt,2020,district_heating,stedin,2026-01-21T14:39:53.916878,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3583,3601,3,3596,870822.4369687474,4710.02907831691,5208.482935992957,498.45385767604694,0.0,0.0,0.0,4239.026170485219,969.4567655077385,362.1288294862725,96.08849158018894,511.2394444412771,22.86979901793741,0.8138696473769058,421.3529564999044,True,969.4567655077385,True,0.0,0.0,0,377,0/377,6,"D0503100000020028, D0503100000020032, D0503100000020034, D0503100000019940, D0503100000019939, D0503100000020033",377,partially_connected_with_emergency_links,362.1288294862725,498.45385767604694,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2020_district_heating_osm_3519fb66,multatulibuurt,2020,district_heating,osm,True,241.115558,Multatulibuurt,2020,district_heating,osm,2026-01-21T14:43:58.891823,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2404,2432,3,2427,613509.8561613637,4710.02907831691,5284.5008259478855,574.4717476309752,0.0,0.0,0.0,4239.02617048522,1045.4746554626668,430.5449304457079,96.08849158018894,518.8412334367699,24.663085657312575,0.8021620792773483,236.03124849998858,True,1045.4746554626668,True,0.0,0.0,0,377,0/377,0,,377,fully_connected,430.5449304457079,574.4717476309752,,,,,,,,,,,,,,,,,,,,,
multatulibuurt_2020_full_electrification_stedin_73a2efdc,multatulibuurt,2020,full_electrification,stedin,True,482.045823,Multatulibuurt,2020,full_electrification,stedin,2026-01-21T14:51:58.447387,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3462,3816,3,3810,61947.44320159892,,,,4239.026170485219,1059.756542621305,,4239.026170485219,,,,,,,474.17523960012477,True,0.0,True,51.56938664673114,0.0,0,377,0/377,6,"D0503100000020034, D0503100000019939, D0503100000019940, D0503100000020032, D0503100000020033, D0503100000020028",377,partially_connected_with_emergency_links,,,0.0,1059.756542621305,1111.3259292680361,51.56938664673114,51.56938664673114,4.866154118678465,0.5894548066172361,9.521633862167056,0.18770788179842754,1.698742807177258,38.823881808244224,0.028352068322993616,0.3204271150453991,0.3991862973585808,,,,,,,
multatulibuurt_2020_full_electrification_osm_f409c16c,multatulibuurt,2020,full_electrification,osm,True,244.437627,Multatulibuurt,2020,full_electrification,osm,2026-01-21T14:56:06.706200,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2404,2444,3,2438,40592.85504180429,,,,4239.02617048522,1059.756542621305,,4239.02617048522,,,,,,,238.73680199997034,True,0.0,True,33.34838416761338,0.0,0,377,0/377,0,,377,fully_connected,,,0.0,1059.756542621305,1093.1049267889184,33.34838416761338,33.34838416761338,3.1467967241916,0.33433721231252234,0.8943300681729242,12.099616520163359,1.9465796489285587,1.511501902821501,11.983013889569543,1.5334200901892256,0.03290844335268326,2.421224537841141,0.49004770294884503,0.018226301916006042,0.08317784939713949,,,
multatulibuurt_2020_hybrid_stedin_768c3048,multatulibuurt,2020,hybrid,stedin,True,1964.796799,Multatulibuurt,2020,hybrid,stedin,2026-01-21T15:28:34.978733,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,6639,7020,3,7013,436262.8075463297,2306.757893767297,2514.48776373851,207.7298699712128,2162.944066094653,540.7360165236632,,4239.026170485219,438.4056593479435,100.47724055192242,96.08849158018894,241.83992721583218,10.34213146407071,,1943.3296918999404,True,438.4056593479435,True,4.939090511603532,0.0,0,377,0/377,6,"D0503100000020034, D0503100000020033, D0503100000020032, D0503100000020028, D0503100000019939, D0503100000019940",377,partially_connected_with_emergency_links,100.47724055192242,207.7298699712128,,540.7360165236632,545.6751070352668,4.939090511603532,4.939090511603532,0.9134014307677232,0.5894548066172361,0.4936792672761101,0.18743432090709114,,2.9205566360761153,0.028352068322993616,0.3204271150453991,0.3991862973585808,,,,,,,
multatulibuurt_2020_hybrid_osm_648ef97a,multatulibuurt,2020,hybrid,osm,True,659.384791,Multatulibuurt,2020,hybrid,osm,2026-01-21T15:39:45.922865,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,4402,4479,3,4472,322571.1718339998,2306.757893767297,2502.8647926681506,196.1068989008536,2162.944066094653,540.7360165236632,,4239.026170485219,426.7826882775836,90.0165665885983,96.08849158018894,240.67763010879634,10.067941812888877,,647.6197593999095,True,426.7826882775836,True,6.630309305083184,0.0,0,377,0/377,0,,377,fully_connected,90.0165665885983,196.1068989008536,,540.7360165236632,547.3663258287464,6.630309305083184,6.630309305083184,1.2261638031268505,0.33433721231252234,0.0009420268238459065,0.3618103353569415,0.010630539211901017,1.511501902821501,1.5685491043811643,1.5334200901892256,0.03290844335268326,0.6847577963714168,0.49004770294884503,0.018226301916006042,0.08317784939713949,,,
holstbuurt_2013_district_heating_stedin_a06c7ae5,holstbuurt,2013,district_heating,stedin,True,233.173172,Holstbuurt,2013,district_heating,stedin,2026-01-21T15:43:45.055487,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2295,2297,3,2292,1775658.4733658591,12439.143179293742,12859.484220154687,420.3410408609452,0.0,0.0,0.0,11195.228861364365,1664.2553587903249,285.27458798947373,103.36927642820184,1275.6114943726493,14.865755576768994,0.8705814844282843,226.93173550011124,True,1664.2553587903249,True,0.0,0.0,0,224,0/224,12,"D0503100000019294, D0503100000019378, D0503100000019380, D0503100000019685, D0503100000019369, D0503100000019841, D0503100000019370, D0503100000031359, D0503100000019844, D0503100000019379, D0503100000019845, D0503100000019763",224,partially_connected_with_emergency_links,,420.3410408609452,,,,,,,,,,,,,,,,,,,285.27458798947373,,
holstbuurt_2013_district_heating_osm_eca3ed7f,holstbuurt,2013,district_heating,osm,True,268.093482,Holstbuurt,2013,district_heating,osm,2026-01-21T15:48:13.114052,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2310,2340,3,2335,1053903.8845416422,12439.14317929374,12881.480802330556,442.3376230368158,0.0,0.0,0.0,11195.228861364365,1686.2519409661923,305.0715119477544,103.36927642820184,1277.8111525902361,15.062237332061903,0.8690948682964221,261.5760193999158,True,1686.2519409661923,True,0.0,0.0,0,224,0/224,0,,224,fully_connected,,442.3376230368158,,,,,,,,,,,,,,,,,,,305.0715119477544,,
holstbuurt_2013_full_electrification_stedin_1f026a1e,holstbuurt,2013,full_electrification,stedin,True,282.445446,Holstbuurt,2013,full_electrification,stedin,2026-01-21T15:52:55.713460,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,2552,2684,3,2678,123016.58809168152,,,,11195.228861364365,2798.8072153410913,,11195.228861364365,,,,,,,275.73980430013034,True,0.0,True,162.53277841326224,0.0,0,224,0/224,12,"D0503100000019845, D0503100000019763, D0503100000019380, D0503100000019685, D0503100000019369, D0503100000019370, D0503100000019841, D0503100000019378, D0503100000019294, D0503100000019844, D0503100000019379, D0503100000031359",224,partially_connected_with_emergency_links,,,0.0,2798.8072153410913,2961.3399937543536,162.53277841326224,162.53277841326224,5.807215928355906,60.75054700446228,,,,13.606682709941246,2.5182651061299874,,11.90557632775704,,60.26503902580364,7.874467800556312,5.612200438611912,,,
