nodes,techs,parameters,timesteps,2050/01/01 00:00
geothermie_delft,supply_geothermal,source_use_max,,100000.0
warmtenet1,heat_main,sink_use_equals,,0.0
warmtenet2,heat_main,sink_use_equals,,0.0
warmtenet3,heat_main,sink_use_equals,,0.0
warmtenet4,heat_main,sink_use_equals,,0.0
warmtenet5,heat_main,sink_use_equals,,0.0
warmtenet6,heat_main,sink_use_equals,,0.0
warmtenet7,heat_main,sink_use_equals,,0.0
warmtenet8,heat_main,sink_use_equals,,0.0
warmtenet9,heat_main,sink_use_equals,,0.0
warmtenet10,heat_main,sink_use_equals,,0.0
warmtenet11,heat_main,sink_use_equals,,0.0
warmtenet12,heat_main,sink_use_equals,,0.0
warmtenet13,heat_main,sink_use_equals,,0.0
warmtenet14,heat_main,sink_use_equals,,0.0
warmtenet15,heat_main,sink_use_equals,,0.0
MV_LV_transformer1,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer2,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer3,supply_LV_electricity,source_use_max,,100000.0
MV_LV_transformer4,supply_LV_electricity,source_use_max,,100000.0
D0503100000018871,demand_LQ_heat,sink_use_equals,,856.016327756082
D0503100000018872,demand_LQ_heat,sink_use_equals,,792.3546911789872
D0503100000018875,demand_LQ_heat,sink_use_equals,,383.5407184043559
D0503100000018878,demand_LQ_heat,sink_use_equals,,51.10873620744977
D0503100000018977,demand_LQ_heat,sink_use_equals,,646.5684086153177
D0503100000018978,demand_LQ_heat,sink_use_equals,,956.8419367435368
D0503100000023386,demand_LQ_heat,sink_use_equals,,791.165185834347
D0503100000023496,demand_LQ_heat,sink_use_equals,,9.644748661659996
D0503100000023497,demand_LQ_heat,sink_use_equals,,7.313673765509866
D0503100000023500,demand_LQ_heat,sink_use_equals,,148.43603969049977
D0503100000031589,demand_LQ_heat,sink_use_equals,,9.87319990033762
D0503100000032956,demand_LQ_heat,sink_use_equals,,1533.383385692239
D0503100000034482,demand_LQ_heat,sink_use_equals,,464.43395130325257
D0503100000036714,demand_LQ_heat,sink_use_equals,,298.4741391874245
LQHtransmission1,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission2,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission3,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission4,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission5,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission6,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission7,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission8,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission9,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission10,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission11,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission12,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission13,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission14,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission15,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission16,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission17,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission18,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission19,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission20,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission21,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission22,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission23,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission24,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission25,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission26,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission27,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission28,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission29,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission30,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission31,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission32,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission33,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission34,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission35,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission36,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission37,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission38,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission39,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission40,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission41,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission42,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission43,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission44,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission45,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission46,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission47,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission48,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission49,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission50,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission51,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission52,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission53,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission54,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission55,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission56,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission57,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission58,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission59,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission60,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission61,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission62,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission63,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission64,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission65,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission66,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission67,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission68,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission69,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission70,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission71,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission72,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission73,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission74,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission75,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission76,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission77,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission78,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission79,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission80,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission81,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission82,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission83,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission84,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission85,demand_LQ_heat,sink_use_equals,,0.0
LQHtransmission86,demand_LQ_heat,sink_use_equals,,0.0
